Player,Team,Transfer Value
Djed Spence,Tottenham,€19.8M
Dominic Calvert-Lewin,Everton,€17.8M
Dominic Solanke,Tottenham,€52.1M
Dominik Szoboszlai,Liverpool,€71.4M
Dwight McNeil,Everton,€27M
Eberechi Eze,Crystal Palace,€62.2M
Ederson,Manchester City,€19.1M
Edson Álvarez,West Ham,€36.5M
Elliot Anderson,Nott'ham Forest,€46.5M
Emerson Palmieri,West Ham,€12.6M
Emile Smith Rowe,Fulham,€40.8M
Emiliano Martínez,Aston Villa,€17.5M
Emmanuel Agbadou,Wolves,€18M
Enzo Fernández,Chelsea,€73.7M
Erling Haaland,Manchester City,€198.8M
Ethan Pinnock,Brentford,€7.6M
Evanilson,Bournemouth,€26.9M
Ezri Konsa,Aston Villa,€42.7M
Fabian Schär,Newcastle Utd,€11M
Facundo Buonanotte,Leicester City,€30.7M
Flynn Downes,Southampton,€9.2M
Gabriel Magalhães,Arsenal,€75.5M
Gabriel Martinelli,Arsenal,€62.6M
Georginio Rutter,Brighton,€41.3M
Guglielmo Vicario,Tottenham,€41.6M
Guido Rodríguez,West Ham,€13.6M
Harry Maguire,Manchester Utd,€13.7M
Harry Wilson,Fulham,€14.5M
Harry Winks,Leicester City,€11.4M
Harvey Barnes,Newcastle Utd,€41.5M
Ian Maatsen,Aston Villa,€40.6M
Ibrahima Konaté,Liverpool,€57.2M
Idrissa Gana Gueye,Everton,€5M
Igor Júlio, Brighton,€25M
Iliman Ndiaye,Everton,€25.7M
Illia Zabarnyi,Bournemouth,€58.8M
Ismaila Sarr,Crystal Palace,€25.7M
Issa Diop,Fulham,€17.9M
Jack Clarke,Ipswich Town,€19.4M
Jack Harrison,Everton,€17.7M
Jack Hinshelwood,Brighton,€9.2M
Jack Stephens,Southampton,€1.4M
Jacob Greaves,Ipswich Town,€25.1M
Jacob Murphy,Newcastle Utd,€17.9M
Jacob Ramsey,Aston Villa,€45.8M
Jadon Sancho,Chelsea,€37.7M
Jake O'Brien,Everton,€19.7M
James Garner,Everton,€23.2M
James Justin,Leicester City,€17M
James Maddison,Tottenham,€58.1M
James Tarkowski,Everton,€11.8M
Jamie Vardy,Leicester City,€1M
Jan Bednarek,Southampton,€12.9M
Jan Paul van Hecke,Brighton,€42.4M
Jannik Vestergaard,Leicester City,€2M
Jarrad Branthwaite,Everton,€32.2M
Jarrod Bowen,West Ham,€48.1M
Jean-Clair Todibo,West Ham,€36M
Jean-Philippe Mateta,Crystal Palace,€31.7M
Jean-Ricner Bellegarde,Wolves,€21.3M
Jefferson Lerma,Crystal Palace,€13.6M
Jens Cajuste,Ipswich Town,€15.5M
Jeremy Doku,Manchester City,€66.2M
Jesper Lindstrøm,Everton,€24.4M
Joachim Andersen,Fulham,€31.4M
Joe Aribo,Southampton,€6.9M
Joe Willock,Newcastle Utd,€35.8M
Joelinton,Newcastle Utd,€47.5M
John McGinn,Aston Villa,€22.5M
Jordan Ayew,Leicester City,€4.2M
Jordan Pickford,Everton,€22.6M
Joshua Zirkzee,Manchester Utd,€43.7M
José Sá,Wolves,€8.5M
João Gomes,Wolves,€51.1M
João Pedro,Brighton,€61.3M
Joël Veltman,Brighton,€5.7M
Joško Gvardiol,Manchester City,€78.7M
Jurriën Timber,Arsenal,€65.5M
Justin Kluivert,Bournemouth,€44.8M
Jørgen Strand Larsen,Wolves,€30.8M
Kai Havertz,Arsenal,€70.5M
Kalvin Phillips,Ipswich Town,€17.2M
Kamaldeen Sulemana,Southampton,€18.5M
Kaoru Mitoma,Brighton,€50.6M
Keane Lewis-Potter,Brentford,€27.1M
Kenny Tete,Fulham,€14M
Kepa Arrizabalaga,Bournemouth,€12M
Kevin De Bruyne,Manchester City,€20.1M
Kevin Schade,Brentford,€29.7M
Kieran Trippier,Newcastle Utd,€5.1M
Kobbie Mainoo,Manchester Utd,€66M
Konstantinos Mavropanos,West Ham,€19.1M
Kristoffer Ajer,Brentford,€21.5M
Kyle Walker, Milan,€4.9M
Kyle Walker-Peters,Southampton,€16.6M
Leandro Trossard,Arsenal,€31.8M
Leif Davis,Ipswich Town,€28.2M
Leny Yoro,Manchester Utd,€71M
Leon Bailey,Aston Villa,€39.2M
Lesley Ugochukwu,Southampton,€27M
Levi Colwill,Chelsea,€56.6M
Lewis Cook,Bournemouth,€19.3M
Lewis Dunk,Brighton,€7.4M
Lewis Hall,Newcastle Utd,€34.5M
Liam Delap,Ipswich Town,€37M
Lisandro Martínez,Manchester Utd,€49.2M
Lucas Bergvall,Tottenham,€32.6M
Lucas Digne,Aston Villa,€13.6M
Lucas Paquetá,West Ham,€71.2M
Luis Díaz,Liverpool,€71M
Luke Woolfenden,Ipswich Town,€2M
Mads Hermansen,Leicester City,€19.8M
Mads Roerslev, VfL Wolfsburg,€8.4M
Malo Gusto,Chelsea,€32.8M
Manuel Akanji,Manchester City,€42.8M
Manuel Ugarte Ribeiro,Manchester Utd,€60.4M
Marc Cucurella,Chelsea,€39.4M
Marc Guéhi,Crystal Palace,€54.2M
Marcos Senesi,Bournemouth,€20.4M
Marcus Rashford,Manchester Utd,€53.6M
Marcus Tavernier,Bournemouth,€24.4M
Mario Lemina, Galatasaray,€5.2M
Mark Flekken,Brentford,€13.6M
Martin Ødegaard,Arsenal,€126.5M
Mateo Kovačić,Manchester City,€25.3M
Mateus Fernandes,Southampton,€22.5M
Matheus Cunha,Wolves,€62.6M
Matheus Nunes,Manchester City,€42.3M
Matt Doherty,Wolves,€4.2M
Matthijs de Ligt,Manchester Utd,€52.2M
Matty Cash,Aston Villa,€32.9M
Matz Sels,Nott'ham Forest,€9.1M
Max Kilman,West Ham,€36.7M
Maxence Lacroix,Crystal Palace,€27.7M
Micky van de Ven,Tottenham,€61.8M
Mikel Merino,Arsenal,€40.5M
Mikkel Damsgaard,Brentford,€28.6M
Milos Kerkez,Bournemouth,€61.5M
Mohamed Salah,Liverpool,€38.5M
Mohammed Kudus,West Ham,€61.7M
Moisés Caicedo,Chelsea,€80.7M
Morgan Gibbs-White,Nott'ham Forest,€61.7M
Morgan Rogers,Aston Villa,€69M
Murillo,Nott'ham Forest,€68.4M
Myles Lewis-Skelly,Arsenal,€34.9M
Nathan Collins,Brentford,€33.3M
Neco Williams,Nott'ham Forest,€23.4M
Nick Pope,Newcastle Utd,€11.7M
Nicolas Jackson,Chelsea,€66.2M
Nicolás Domínguez,Nott'ham Forest,€18.8M
Nikola Milenković,Nott'ham Forest,€38M
Noni Madueke,Chelsea,€51.6M
Noussair Mazraoui,Manchester Utd,€43M
Nélson Semedo,Wolves,€8.4M
Ola Aina,Nott'ham Forest,€18.8M
Oliver Skipp,Leicester City,€17M
Ollie Watkins,Aston Villa,€61.4M
Omar Marmoush,Manchester City,€79.1M
Omari Hutchinson,Ipswich Town,€27.4M
Orel Mangala,Everton,€24.4M
Pape Matar Sarr,Tottenham,€50.8M
Pau Torres,Aston Villa,€45.3M
Paul Onuachu,Southampton,€12.7M
Pedro Neto,Chelsea,€60.6M
Pedro Porro,Tottenham,€55.9M
Pervis Estupiñán,Brighton,€37.1M
Phil Foden,Manchester City,€105.7M
Radu Drăgușin,Tottenham,€28.4M
Rasmus Højlund,Manchester Utd,€54.9M
Rayan Aït-Nouri,Wolves,€45M
Raúl Jiménez,Fulham,€5.1M
Riccardo Calafiori,Arsenal,€49.3M
Rico Lewis,Manchester City,€62.7M
Robert Sánchez,Chelsea,€24.9M
Rodrigo Bentancur,Tottenham,€31.5M
Rodrigo Muniz,Fulham,€8.2M
Ryan Christie,Bournemouth,€16.2M
Ryan Gravenberch,Liverpool,€85.3M
Ryan Manning,Southampton,€3.9M
Ryan Yates,Nott'ham Forest,€18.3M
Rúben Dias,Manchester City,€58.5M
Sam Morsy,Ipswich Town,€1.3M
Sammie Szmodics,Ipswich Town,€14.1M
Sander Berge,Fulham,€27.8M
Sandro Tonali,Newcastle Utd,€52.9M
Santiago Bueno,Wolves,€11.2M
Saša Lukić,Fulham,€12.1M
Sepp van den Berg,Brentford,€26.4M
Simon Adingra,Brighton,€34M
Son Heung-min,Tottenham,€30.7M
Stefan Ortega,Manchester City,€5.8M
Stephy Mavididi,Leicester City,€12.9M
Sávio,Manchester City,€74.8M
Taylor Harwood-Bellis,Southampton,€29.9M
Thomas Partey,Arsenal,€15.2M
Timothy Castagne,Fulham,€17.4M
Tomáš Souček,West Ham,€23.2M
Tosin Adarabioyo,Chelsea,€24.3M
Toti Gomes,Wolves,€18.6M
Trent Alexander-Arnold,Liverpool,€55.8M
Trevoh Chalobah,Crystal Palace,€20.1M
Tyler Adams,Bournemouth,€24.4M
Tyler Dibling,Southampton,€32.7M
Tyrick Mitchell,Crystal Palace,€24.6M
Tyrone Mings,Aston Villa,€5.8M
Valentino Livramento,Newcastle Utd,€49.3M
Victor Bernth Kristiansen,Leicester City,€23.9M
Virgil van Dijk,Liverpool,€24.3M
Vitaliy Mykolenko,Everton,€33.5M
Vitaly Janelt,Brentford,€27.1M
Wes Burns,Ipswich Town,€2.1M
Wesley Fofana,Chelsea,€30.3M
Wilfred Ndidi,Leicester City,€20.3M
Will Hughes,Crystal Palace,€11.1M
William Saliba,Arsenal,€79.5M
Wout Faes,Leicester City,€25M
Yankuba Minteh,Brighton,€42.6M
Yasin Ayari,Brighton,€21.4M
Yehor Yarmoliuk,Brentford,€18M
Yoane Wissa,Brentford,€31.4M
Youri Tielemans,Aston Villa,€41.5M
Yukinari Sugawara,Southampton,€15.7M
Yves Bissouma,Tottenham,€29.8M
Álex Moreno,Nott'ham Forest,€11M
İlkay Gündoğan,Manchester City,€12.1M
Łukasz Fabiański,West Ham,€0.9M
